[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 16:11:21.801 (UTC)] info/application	[Sensor] Updated distance: 16.88468585111419 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:22.805 (UTC)] info/application	[Sensor] Updated distance: 49.70804903642649 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:23.798 (UTC)] info/application	[Sensor] Updated distance: 39.39810562385158 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:24.802 (UTC)] info/application	[Sensor] Updated distance: 35.240088187735566 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:25.805 (UTC)] info/application	[Sensor] Updated distance: 6.8800572850182915 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:26.799 (UTC)] info/application	[Sensor] Updated distance: 20.85170369728082 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:27.802 (UTC)] info/application	[Sensor] Updated distance: 46.28474511033145 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:28.805 (UTC)] info/application	[Sensor] Updated distance: 10.505926106360706 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:29.799 (UTC)] info/application	[Sensor] Updated distance: 28.595816527770744 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:30.803 (UTC)] info/application	[Sensor] Updated distance: 28.673822854959322 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:31.807 (UTC)] info/application	[Sensor] Updated distance: 28.657553223267918 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:32.802 (UTC)] info/application	[Sensor] Updated distance: 5.88771256985502 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:33.806 (UTC)] info/application	[Sensor] Updated distance: 3.826984793798525 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:34.799 (UTC)] info/application	[Sensor] Updated distance: 13.563442325016224 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:35.803 (UTC)] info/application	[Sensor] Updated distance: 23.28376475967642 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:36.807 (UTC)] info/application	[Sensor] Updated distance: 14.707823923187247 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:37.800 (UTC)] info/application	[Sensor] Updated distance: 43.72890466159624 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:38.802 (UTC)] info/application	[Sensor] Updated distance: 38.727239439602585 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:39.806 (UTC)] info/application	[Sensor] Updated distance: 25.61289593931888 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:40.798 (UTC)] info/application	[Sensor] Updated distance: 48.26441793807988 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:41.800 (UTC)] info/application	[Sensor] Updated distance: 26.89337841090438 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:42.803 (UTC)] info/application	[Sensor] Updated distance: 47.30077089243604 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:43.805 (UTC)] info/application	[Sensor] Updated distance: 13.821064723572258 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:44.798 (UTC)] info/application	[Sensor] Updated distance: 12.415835169337612 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:45.799 (UTC)] info/application	[Sensor] Updated distance: 7.969323801793774 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:46.802 (UTC)] info/application	[Sensor] Updated distance: 45.80034701330603 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:47.804 (UTC)] info/application	[Sensor] Updated distance: 42.00521549210195 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:48.807 (UTC)] info/application	[Sensor] Updated distance: 40.82333035339756 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:49.799 (UTC)] info/application	[Sensor] Updated distance: 44.01287113596353 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:50.803 (UTC)] info/application	[Sensor] Updated distance: 30.757214246670348 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:51.805 (UTC)] info/application	[Sensor] Updated distance: 7.527388739179535 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:52.807 (UTC)] info/application	[Sensor] Updated distance: 10.897556987077722 cm | Severity=75 | SourceName=Sensor3 | EventType=application
