[2026-08-16 20:19:49.256 (UTC)] info/application	[Sensor] Updated distance: 21.0685751238226 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:50.256 (UTC)] info/application	[Sensor] Updated distance: 20.5218864558367 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:51.256 (UTC)] info/application	[Sensor] Updated distance: 19.9769289917205 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:52.255 (UTC)] info/application	[Sensor] Updated distance: 19.4945989986857 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:53.255 (UTC)] info/application	[Sensor] Updated distance: 19.6465203616054 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:54.255 (UTC)] info/application	[Sensor] Updated distance: 20.4091716161506 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:55.254 (UTC)] info/application	[Sensor] Updated distance: 20.9460008539939 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:56.254 (UTC)] info/application	[Sensor] Updated distance: 21.4603675328942 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:57.254 (UTC)] info/application	[Sensor] Updated distance: 22.1739235665528 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:58.254 (UTC)] info/application	[Sensor] Updated distance: 21.4999191663228 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:59.253 (UTC)] info/application	[Sensor] Updated distance: 20.592621051051 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:00.254 (UTC)] info/application	[Sensor] Updated distance: 21.3264001947019 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:01.254 (UTC)] info/application	[Sensor] Updated distance: 22.4710921014059 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:02.255 (UTC)] info/application	[Sensor] Updated distance: 21.271550653396 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:03.255 (UTC)] info/application	[Sensor] Updated distance: 20.0940015856614 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:04.256 (UTC)] info/application	[Sensor] Updated distance: 21.2506432629892 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:05.256 (UTC)] info/application	[Sensor] Updated distance: 22.3191390625756 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:06.256 (UTC)] info/application	[Sensor] Updated distance: 21.8618435693727 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:07.256 (UTC)] info/application	[Sensor] Updated distance: 21.6391688462529 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:08.257 (UTC)] info/application	[Sensor] Updated distance: 21.0497204356593 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:09.258 (UTC)] info/application	[Sensor] Updated distance: 20.7160831963253 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:10.258 (UTC)] info/application	[Sensor] Updated distance: 20.88476575603 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:11.258 (UTC)] info/application	[Sensor] Updated distance: 20.8362468475645 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:12.259 (UTC)] info/application	[Sensor] Updated distance: 20.2078026243056 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:13.259 (UTC)] info/application	[Sensor] Updated distance: 18.7902636578261 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:14.260 (UTC)] info/application	[Sensor] Updated distance: 20.0128107394617 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:15.251 (UTC)] info/application	[Sensor] Updated distance: 20.3882262005416 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:16.252 (UTC)] info/application	[Sensor] Updated distance: 19.8522531196253 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:17.252 (UTC)] info/application	[Sensor] Updated distance: 18.6359720791858 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:18.252 (UTC)] info/application	[Sensor] Updated distance: 18.5934274783793 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:19.253 (UTC)] info/application	[Sensor] Updated distance: 19.005017969294 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:20.253 (UTC)] info/application	[Sensor] Updated distance: 17.7046893589221 cm | Severity=75 | SourceName=Sensor2 | EventType=application
