[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 17:10:16.690 (UTC)] info/application	[Sensor] Updated distance: 23.5739978801338 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:17.682 (UTC)] info/application	[Sensor] Updated distance: 18.856248259943094 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:18.684 (UTC)] info/application	[Sensor] Updated distance: 22.169802563344035 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:19.686 (UTC)] info/application	[Sensor] Updated distance: 28.675876801216916 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:20.688 (UTC)] info/application	[Sensor] Updated distance: 2.5653939473281584 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:21.691 (UTC)] info/application	[Sensor] Updated distance: 19.863055893156236 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:22.682 (UTC)] info/application	[Sensor] Updated distance: 11.250949670211854 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:23.685 (UTC)] info/application	[Sensor] Updated distance: 40.452346849465904 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:24.686 (UTC)] info/application	[Sensor] Updated distance: 19.508213274883204 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:25.689 (UTC)] info/application	[Sensor] Updated distance: 21.821227842858633 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:26.681 (UTC)] info/application	[Sensor] Updated distance: 40.057593855102354 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:27.683 (UTC)] info/application	[Sensor] Updated distance: 12.058091406737496 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:28.686 (UTC)] info/application	[Sensor] Updated distance: 13.929362555932887 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:29.688 (UTC)] info/application	[Sensor] Updated distance: 3.0334078599854406 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:30.690 (UTC)] info/application	[Sensor] Updated distance: 37.0296457274955 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:31.683 (UTC)] info/application	[Sensor] Updated distance: 3.1530223792200083 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:32.684 (UTC)] info/application	[Sensor] Updated distance: 46.059006823254286 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:33.687 (UTC)] info/application	[Sensor] Updated distance: 38.366196559912616 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:34.689 (UTC)] info/application	[Sensor] Updated distance: 36.25386688218166 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:35.681 (UTC)] info/application	[Sensor] Updated distance: 4.8829706622673985 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:36.683 (UTC)] info/application	[Sensor] Updated distance: 7.540503735440086 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:37.685 (UTC)] info/application	[Sensor] Updated distance: 45.89625353175041 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:38.688 (UTC)] info/application	[Sensor] Updated distance: 34.874009482969534 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:39.690 (UTC)] info/application	[Sensor] Updated distance: 5.123926372790675 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:40.681 (UTC)] info/application	[Sensor] Updated distance: 38.37879154290016 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:41.683 (UTC)] info/application	[Sensor] Updated distance: 48.151881768438905 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:42.685 (UTC)] info/application	[Sensor] Updated distance: 49.828965879897105 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:43.687 (UTC)] info/application	[Sensor] Updated distance: 8.05606863184649 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:44.689 (UTC)] info/application	[Sensor] Updated distance: 41.25678073952756 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:45.691 (UTC)] info/application	[Sensor] Updated distance: 23.375464523851623 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:46.683 (UTC)] info/application	[Sensor] Updated distance: 39.24275762086862 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:47.685 (UTC)] info/application	[Sensor] Updated distance: 14.830778597309616 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:48.687 (UTC)] info/application	[Sensor] Updated distance: 40.23171278379471 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:49.689 (UTC)] info/application	[Sensor] Updated distance: 11.41256016186092 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:50.691 (UTC)] info/application	[Sensor] Updated distance: 41.506655420878275 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:51.683 (UTC)] info/application	[Sensor] Updated distance: 40.797106731122874 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:52.685 (UTC)] info/application	[Sensor] Updated distance: 29.2756160773689 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:53.687 (UTC)] info/application	[Sensor] Updated distance: 2.757605068738388 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:54.688 (UTC)] info/application	[Sensor] Updated distance: 31.249453558237036 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:55.691 (UTC)] info/application	[Sensor] Updated distance: 46.783829352252106 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:56.683 (UTC)] info/application	[Sensor] Updated distance: 22.57883291159702 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:57.686 (UTC)] info/application	[Sensor] Updated distance: 21.307047413339394 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:58.688 (UTC)] info/application	[Sensor] Updated distance: 8.84192073663786 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:59.690 (UTC)] info/application	[Sensor] Updated distance: 34.50819546752991 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:00.682 (UTC)] info/application	[Sensor] Updated distance: 22.340455273324835 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:01.683 (UTC)] info/application	[Sensor] Updated distance: 43.87156646413336 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:02.685 (UTC)] info/application	[Sensor] Updated distance: 35.661217869101655 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:03.687 (UTC)] info/application	[Sensor] Updated distance: 18.39946207422738 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:04.690 (UTC)] info/application	[Sensor] Updated distance: 32.23776300169423 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:05.682 (UTC)] info/application	[Sensor] Updated distance: 21.915084728931582 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:06.684 (UTC)] info/application	[Sensor] Updated distance: 21.28243275884652 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:07.687 (UTC)] info/application	[Sensor] Updated distance: 37.77826673713432 cm | Severity=75 | SourceName=Sensor3 | EventType=application
